"Protein","Module","Module_Name"
"PZP","blue","M2_blue"
"QPCT","greenyellow","M13_greenyellow"
"RAB14","cyan","M14_cyan"
"RAB1A","purple","M15_purple"
"RAB2A","pink","M5_pink"
"RAB4A","red","M9_red"
"RAB4B","grey","M17_grey"
"RAB6B","grey","M17_grey"
"RAD23A","pink","M5_pink"
"RAD23B","yellow","M6_yellow"
"RAN","purple","M15_purple"
"RAP2A","purple","M15_purple"
"RARRES1","magenta","M8_magenta"
"RBBP9","brown","M4_brown"
"RBP1","blue","M2_blue"
"RBP3","black","M7_black"
"RCN1","magenta","M8_magenta"
"RCN2","cyan","M14_cyan"
"RDX","salmon","M10_salmon"
"RECK","blue","M2_blue"
"REG1A","blue","M2_blue"
"RELL1","grey","M17_grey"
"RELT","turquoise","M1_turquoise"
"REXO2","pink","M5_pink"
"RFNG","grey","M17_grey"
"RGMA","turquoise","M1_turquoise"
"RGMB","greenyellow","M13_greenyellow"
"RGN","grey","M17_grey"
"RIDA","yellow","M6_yellow"
"RMDN1","grey","M17_grey"
"RMDN3","green","M11_green"
"RNF13","green","M11_green"
"RNF130","black","M7_black"
"RNF150","turquoise","M1_turquoise"
"RNF167","green","M11_green"
"RNH1","salmon","M10_salmon"
"RNPEP","salmon","M10_salmon"
"ROBO2","greenyellow","M13_greenyellow"
"ROBO4","blue","M2_blue"
"ROR1","grey","M17_grey"
"RPH3A","turquoise","M1_turquoise"
"RTBDN","greenyellow","M13_greenyellow"
"RTN1","yellow","M6_yellow"
"RTN4RL1","greenyellow","M13_greenyellow"
"RXYLT1","grey","M17_grey"
"S100A11","salmon","M10_salmon"
"S100A13","grey","M17_grey"
"S100A4","purple","M15_purple"
"S100A6","purple","M15_purple"
"S100A7","magenta","M8_magenta"
"S100A8","lightcyan","M16_lightcyan"
"S100A9","lightcyan","M16_lightcyan"
"S100B","black","M7_black"
"S1PR1","cyan","M14_cyan"
"SAA1","blue","M2_blue"
"SAA4","blue","M2_blue"
"SACS","brown","M4_brown"
"SARAF","green","M11_green"
"SBSN","lightcyan","M16_lightcyan"
"SBSPON","blue","M2_blue"
"SCAMP1","turquoise","M1_turquoise"
"SCARF1","turquoise","M1_turquoise"
"SCGB1A1","blue","M2_blue"
