"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"CHST7",0.00689175308999178,-0.0339207031762756,0.0477042093562591,0.673044575860003,0.500918932569534,0.755448452698882,0.0116275714376092,-0.0320106667775409,0.0657062205697115,5,1111,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",3,"study_1; study_11; study_7",0.615690508126151
"GPC6",-0.00383535577760203,-0.0517732836597589,0.0441025721045548,-0.672894091933699,0.501014671121689,0.62432644598911,NA,NA,NA,5,977,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_5_LOAD_vs_CN",2,"study_1; study_11",0.698730527913336
"SDK1",-0.0120028199024531,-0.0637282505300471,0.0397226107251408,-0.670508852917618,0.502533464848382,0.597744656915711,NA,NA,NA,2,552,"study_11_LOAD_vs_CN; study_2_LOAD_vs_CN",2,"study_11; study_2",0.699909209085078
"ECRG4",-4.07846788392265e-05,-0.0551589238913857,0.0550773545337073,-0.668876159058348,0.503574479521621,0.724337132302275,0.000265235068821684,-0.0221835840703703,0.0339412755285504,7,1540,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.61402102947805
"ICAM2",0.0327204612523452,0.00284748169975065,0.0625934408049398,-0.668395919166687,0.503880899708263,0.926231266139345,0.0337339962657404,-0.0286325958228989,0.0675063245400055,10,2008,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",5,"study_1; study_11; study_4; study_7; study_8",0.621659144632679
"CXADR",0.0489479472641333,0.0175230586726115,0.0803728358556552,0.665921662169553,0.5054611736733,0.936936383019971,0.0505362750328392,-0.0258962467570807,0.0933825022718314,10,1915,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",5,"study_1; study_11; study_4; study_7; study_8",0.621659144632679
"ST6GALNAC6",0.0387850497658827,-0.0567325458939008,0.134302645425666,0.664710584611906,0.506235622532598,0.292046452834736,NA,NA,NA,3,666,"study_3_Soma_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",2,"study_3_Soma; study_8",0.702836640865973
"MT1E",-0.0164468128045739,-0.0695550539451319,0.0366614283359842,-0.664647005661063,0.506276296658004,0,NA,NA,NA,2,588,"study_11_LOAD_vs_CN; study_4_LOAD_vs_CN",2,"study_11; study_4",0.702836640865973
"COL12A1",-0.00539027380626083,-0.0252323725950831,0.0144518249825614,-0.664170028653918,0.506581493694677,0.639681924424335,-0.00643371534983564,-0.0250864021775175,0.00502731550674734,6,1338,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",0.616741634743137
"TOR1AIP1",-0.0325794553810412,-0.139257332773009,0.0740984220109267,-0.664039984800822,0.506664719931293,0,NA,NA,NA,3,439,"study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN",2,"study_11; study_2",0.702836640865973
